name,group,first_side,tags,unit,main_loops,candidate_loops,loop_matched,main_mean_seconds,candidate_mean_seconds,candidate_over_main,time_change_percent,speedup,pyperf_significant,pyperf_t_score,main_stdev_percent,candidate_stdev_percent
sympy_str,B,candidate,,second,1,1,True,0.1782750122093906,0.17685154432741304,0.9920153258477657,-0.798467415223425,1.0080489423340417,False,1.6518722377312778,2.625418604827897,2.6909504270456424
sympy_sum,B,candidate,,second,2,2,True,0.09814998810179532,0.09725867605302482,0.990918877668675,-0.9081122331324964,1.009164344868159,True,3.8538826627927687,1.2896425178192477,1.303453007893731
telco,A,main,,second,2,2,True,0.08518202511283259,0.08948268344004949,1.0504878619816824,5.0487861981682425,0.9519386526880567,True,-11.246337589107098,0.6383537257875408,3.2539930139570727
tomli_loads,B,candidate,serialize,second,1,1,True,1.0598988790841153,1.0042167481190214,0.9474646760517285,-5.253532394827154,1.055448319368693,True,31.792812675371007,1.0635572668045101,0.7516365398288363
tornado_http,A,main,apps,second,2,2,True,0.06309126394335181,0.06279394596349448,0.9952874936833682,-0.47125063166317815,1.0047348191819347,False,1.1767421407113299,2.0630666449972237,2.3275085186225537
typing_runtime_protocols,B,candidate,,second,2048,2048,True,8.103377934579234e-05,8.286098720115358e-05,1.022548718202616,2.254871820261606,0.9779485145292138,True,-7.554745331016045,1.524328482053979,1.6999198965912472
unpack_sequence,A,main,,second,6553600,6553600,True,4.536053766438878e-08,4.524620012820909e-08,0.9974793610907867,-0.25206389092132797,1.0025270085853775,False,0.19233481583671427,7.314384400458318,7.057095781224002
unpickle,B,candidate,serialize,second,20480,20480,True,1.0025178297989139e-05,9.689777435445042e-06,0.9665441498819656,-3.3455850118034425,1.0346138871381303,True,16.094282671833803,1.5074627394176612,0.585499443513784
unpickle_list,A,main,serialize,second,40960,40960,True,3.1119700292947527e-06,3.180933854688798e-06,1.0221608256971788,2.216082569717881,0.9783196292207113,True,-24.493513421630617,0.5906664935815618,0.3690104277210762
unpickle_pure_python,B,candidate,serialize,second,1280,1280,True,0.0001221817060165146,0.0001120926831451167,0.9174260762897333,-8.257392371026672,1.0900060787940684,True,46.46402682162515,1.224571748316982,0.6854038277984388
urlsafe_base64_small,B,candidate,serialize,second,512,512,True,0.0002297856879522442,0.00023863666410761653,1.0385183961379345,3.8518396137934507,0.9629102418588081,True,-15.262864712923399,0.2715078954674951,1.8640763856971454
xdsl_constant_fold,A,main,,second,4,4,True,0.03036910363007337,0.03033250553222994,0.9987948904159559,-0.12051095840440729,1.0012065636254328,False,0.046530031705914514,14.078549129849536,14.309489704326714
xml_etree_generate,B,candidate,serialize,second,2,2,True,0.060753760882653295,0.059887782740406695,0.9857460981893903,-1.4253901810609704,1.0144600134221085,True,4.102532114118858,2.179809367945417,1.6012310937184984
xml_etree_iterparse,B,candidate,serialize,second,2,2,True,0.06210263395526757,0.061294013921481864,0.9869792956870693,-1.3020704312930675,1.0131924796901302,True,4.6993536542899115,1.5768430454529825,1.4751533609157017
xml_etree_parse,B,candidate,serialize,second,2,2,True,0.09788229691330344,0.0949615316853548,0.9701604343169876,-2.983956568301238,1.0307573516992785,True,17.83351189989135,0.9149122562731072,0.9462524177152043
xml_etree_process,B,candidate,serialize,second,4,4,True,0.03994532260112464,0.03927414879823724,0.9831976872589206,-1.680231274107935,1.0170894551104193,True,4.005287873787325,2.8143643273924748,1.6520526008500216
